Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,228981,-,-,-,46.61,-120.5,-8,354,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.1.0
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,0,30,0,0,0,1.8,-4.3,155.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,1,30,0,0,0,1.5,-4.2,150.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,2,30,0,0,0,1.4000000000000001,-4.2,142.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,3,30,0,0,0,1.3,-4.5,132.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,4,30,0,0,0,1.4000000000000001,-4.7,122.71000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,5,30,0,0,0,1.6,-4.7,112.46000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,6,30,0,0,0,1.7000000000000002,-4.7,102.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,7,30,0,0,0,1.8,-4.4,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,8,30,46,33,144,2.3000000000000003,-3.4000000000000004,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,9,30,185,44,670,2.6,-2.1,77.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,10,30,283,52,777,2.6,-1,72.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,11,30,264,114,436,2.5,-0.2,69.82000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,12,30,344,55,825,2.4000000000000004,0.30000000000000004,69.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,13,30,223,109,365,2.5,0.4,71.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,14,30,157,79,332,2.2,-0.2,76.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,15,30,65,42,192,1.8,-0.8,83.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,16,30,0,0,0,1.3,-3.1,91.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,17,30,0,0,0,1.4000000000000001,-3.6,100.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,18,30,0,0,0,1.4000000000000001,-4,110.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,19,30,0,0,0,1.5,-4.2,120.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,20,30,0,0,0,1.5,-4.5,130.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,21,30,0,0,0,1.4000000000000001,-4.7,140.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,22,30,0,0,0,1.4000000000000001,-5,149.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,23,30,0,0,0,1.4000000000000001,-5,154.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,0,30,0,0,0,1.4000000000000001,-5,155.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,1,30,0,0,0,1.5,-5,150.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,2,30,0,0,0,1.6,-4.800000000000001,142.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,3,30,0,0,0,1.7000000000000002,-4.6000000000000005,132.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,4,30,0,0,0,1.8,-4.4,122.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,5,30,0,0,0,1.9000000000000001,-4.3,112.46000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,6,30,0,0,0,1.9000000000000001,-4.1000000000000005,102.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,7,30,0,0,0,1.9000000000000001,-3.7,93.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,8,30,46,33,141,2.2,-3,84.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,9,30,75,75,1,2.4000000000000004,-2.2,77.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,10,30,120,113,23,2.2,-1.4000000000000001,72.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,11,30,149,137,36,1.9000000000000001,-0.7000000000000001,69.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,12,30,208,148,171,1.8,-0.2,69.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,13,30,177,130,150,1.7000000000000002,-0.2,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,14,30,119,93,111,1.4000000000000001,-0.4,76.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,15,30,90,36,440,1.2000000000000002,-0.6000000000000001,82.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,16,30,0,0,0,0.8,-2.4000000000000004,91.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,17,30,0,0,0,0.9,-2.9000000000000004,100.21000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,18,30,0,0,0,1,-3.2,110.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,19,30,0,0,0,1.1,-3.4000000000000004,120.24000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,20,30,0,0,0,1.2000000000000002,-3.3000000000000003,130.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,21,30,0,0,0,1.4000000000000001,-3,140.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,22,30,0,0,0,1.8,-2.7,149.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,23,30,0,0,0,2,-2.4000000000000004,154.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,0,30,0,0,0,2.1,-2.2,155.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,1,30,0,0,0,2,-2.1,150.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,2,30,0,0,0,1.8,-2,142.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,3,30,0,0,0,1.7000000000000002,-1.9000000000000001,132.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,4,30,0,0,0,1.5,-1.9000000000000001,122.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,5,30,0,0,0,1.3,-1.9000000000000001,112.46000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,6,30,0,0,0,1.1,-2,102.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,7,30,0,0,0,1.3,-1.7000000000000002,93.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,8,30,45,32,135,1.6,-1,84.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,9,30,99,82,78,1.6,-0.2,77.71000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,10,30,160,123,122,1.4000000000000001,0.5,72.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,11,30,197,147,145,1.3,1,69.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,12,30,145,136,26,1.2000000000000002,1.4000000000000001,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,13,30,123,118,17,1,1.7000000000000002,71.57000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,14,30,83,83,0,0.8,1.7000000000000002,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,15,30,68,43,194,0.6000000000000001,1.5,82.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,16,30,0,0,0,0.4,0.30000000000000004,90.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,17,30,0,0,0,0.30000000000000004,-0.1,100.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,18,30,0,0,0,0.5,-0.1,109.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,19,30,0,0,0,0.7000000000000001,0,120.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,20,30,0,0,0,0.8,0.1,130.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,21,30,0,0,0,0.9,0.2,140.20000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,22,30,0,0,0,1.1,0.30000000000000004,148.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,23,30,0,0,0,1.1,0.5,154.70000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,0,30,0,0,0,1.1,0.6000000000000001,155.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,1,30,0,0,0,1,0.5,150.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,2,30,0,0,0,0.9,0.1,142.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,3,30,0,0,0,0.9,-0.1,132.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,4,30,0,0,0,0.9,-0.30000000000000004,122.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,5,30,0,0,0,0.9,-0.30000000000000004,112.46000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,6,30,0,0,0,0.9,-0.5,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,7,30,0,0,0,1.1,-0.1,93.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,8,30,47,33,150,1.6,1.2000000000000002,84.60000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,9,30,140,72,318,1.8,2.7,77.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,10,30,222,98,411,1.7000000000000002,3.7,72.46000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,11,30,245,132,324,1.6,4.4,69.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,12,30,183,150,94,1.3,4.6000000000000005,69.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,13,30,156,131,80,1,4.3,71.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,14,30,105,93,49,1,3.4000000000000004,76.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,15,30,47,45,13,1,2.7,82.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,16,30,0,0,0,1,1.8,90.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,17,30,0,0,0,1,1.6,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,18,30,0,0,0,1,1,109.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,19,30,0,0,0,1,0.4,119.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,20,30,0,0,0,1,0,130.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,21,30,0,0,0,1,-0.1,140.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,22,30,0,0,0,1,-0.2,148.70000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,23,30,0,0,0,1,-0.5,154.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,0,30,0,0,0,1,-1,155.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,1,30,0,0,0,1,-1.4000000000000001,150.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,2,30,0,0,0,1,-1.2000000000000002,142.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,3,30,0,0,0,0.9,-0.7000000000000001,132.92000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,4,30,0,0,0,0.8,-0.30000000000000004,122.71000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,5,30,0,0,0,0.8,0,112.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,6,30,0,0,0,0.6000000000000001,0.5,102.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,7,30,0,0,0,0.30000000000000004,0.8,93.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,8,30,43,34,95,0.2,1.1,84.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
